year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude
1970,1,13,13,59,28.0,31.97,104.08,0,ML,2.7
1970,1,20,8,24,43.0,30.6,103.2,0,ML,4.7
1970,1,25,9,14,56.0,30.8,103.1,0,ML,2.7
1970,2,3,4,35,53.0,31.3,103.7,0,ML,3.4
1970,2,14,18,23,42.0,32.08,105.5,0,ML,2.8
1970,2,21,21,59,10.0,30.7,103.2,0,ML,2.3
1970,2,24,10,7,33.0,30.8,103.1,0,Ms,6.2
1970,2,24,11,42,39.0,30.7,103.0,0,ML,2.9
1970,2,24,11,44,41.0,30.7,103.1,0,ML,3.5
1970,2,24,12,8,46.0,30.7,103.0,0,ML,2.6
1970,2,24,12,48,23.0,30.6,103.1,0,ML,2.7
1970,2,24,15,41,21.0,30.7,103.0,0,ML,2.7
1970,2,24,17,24,16.0,30.7,103.0,0,ML,2.6
1970,2,24,17,50,32.0,30.7,103.0,0,ML,2.2
1970,2,24,17,58,57.0,30.8,103.2,0,ML,2.6
1970,2,24,18,18,31.0,30.7,103.0,0,ML,2.7
1970,2,24,18,20,17.0,30.7,103.1,0,ML,2.7
1970,2,24,19,58,37.0,30.7,103.0,0,ML,2.7
1970,2,24,20,12,20.0,30.7,103.1,0,ML,2.9
1970,2,24,21,10,41.0,30.7,103.0,0,ML,2.7
1970,2,24,21,42,54.0,30.7,103.0,0,ML,2.3
1970,2,24,22,33,55.0,30.7,103.0,0,ML,2.6
1970,2,24,22,58,15.0,30.6,103.1,0,ML,2.2
1970,2,25,0,47,11.0,30.6,103.1,0,ML,2.0
1970,2,25,1,14,19.0,30.7,103.0,0,ML,2.3
1970,2,25,2,2,9.0,30.7,103.0,0,ML,2.6
1970,2,25,3,43,9.0,30.7,103.1,0,ML,2.7
1970,2,25,5,6,35.0,30.7,103.0,0,ML,2.2
1970,2,25,6,18,41.0,30.6,103.0,0,ML,2.7
1970,2,25,7,21,32.0,30.6,103.1,0,ML,2.8
1970,2,25,8,3,58.0,30.7,103.0,0,ML,2.7
1970,2,25,10,11,59.0,30.7,103.0,0,ML,2.3
1970,2,25,11,33,32.0,30.7,103.1,0,ML,2.7
1970,2,25,11,38,57.0,30.7,103.0,0,ML,2.2
1970,2,25,12,47,46.0,30.7,103.1,0,ML,2.7
1970,2,25,15,6,22.0,30.7,103.0,0,ML,2.3
1970,2,25,15,35,42.0,30.7,103.0,0,ML,2.2
1970,2,25,18,0,51.0,30.7,103.0,0,ML,2.2
1970,2,25,22,40,48.0,30.7,103.0,0,ML,2.6
1970,2,25,22,51,17.0,30.7,103.0,0,ML,2.2
1970,2,25,23,2,32.0,30.7,103.0,0,ML,2.6
1970,2,26,0,23,6.0,30.7,103.0,0,ML,2.2
1970,2,26,1,52,58.0,30.6,103.0,0,ML,2.7
1970,2,26,1,54,1.0,30.6,103.0,0,ML,2.6
1970,2,26,3,21,22.0,30.7,103.1,0,ML,2.6
1970,2,26,4,16,35.0,30.7,103.0,0,ML,2.3
1970,2,26,5,50,52.0,30.7,103.0,0,ML,2.2
1970,2,26,9,54,17.0,30.7,103.0,0,ML,2.2
1970,2,26,9,56,56.0,30.6,103.1,0,ML,2.7
1970,2,26,10,44,39.0,30.7,103.0,0,ML,2.6
1970,2,26,10,51,15.0,30.7,103.0,0,ML,2.2
1970,2,26,12,39,19.0,30.6,103.1,0,ML,2.3
1970,2,26,17,18,0.0,30.7,103.0,0,ML,2.7
1970,2,26,21,44,51.0,30.7,103.1,0,ML,2.2
1970,2,26,21,50,54.0,30.7,103.1,0,ML,2.3
1970,2,26,22,8,39.0,30.6,103.1,0,ML,2.2
1970,2,27,3,9,3.0,30.7,103.0,0,ML,2.6
1970,2,27,3,21,22.0,30.7,103.0,0,ML,1.6
1970,2,27,10,32,13.0,30.7,103.0,0,ML,2.7
1970,2,27,12,19,21.0,30.7,103.0,0,ML,2.2
1970,2,27,12,28,33.0,30.7,103.0,0,ML,2.7
