year,month,day,hour,minute,second,latitude,longitude,depth,mag_type,magnitude
1970,1,25,2,3,55.0,27.17,102.63,0,ML,2.5
1970,2,5,23,29,18.0,27.27,103.35,0,ML,3.3
1970,2,6,9,35,34.0,27.02,102.17,0,ML,2.6
1970,2,14,8,46,19.0,27.07,102.88,0,ML,2.3
1970,3,21,9,8,42.0,27.23,103.17,0,ML,2.4
1970,4,3,8,45,34.0,27.13,103.2,0,ML,2.2
1970,4,4,23,36,19.0,27.03,102.78,0,ML,1.8
1970,4,4,23,37,50.0,27.03,102.65,0,ML,1.9
1970,4,20,15,21,14.0,26.97,102.97,0,ML,1.8
1970,4,22,4,3,12.0,26.95,102.87,0,ML,2.3
1970,4,22,4,5,19.0,26.93,102.95,0,ML,1.8
1970,4,28,12,31,37.0,27.02,103.22,0,ML,2.2
1970,5,3,21,35,48.0,26.93,103.03,0,ML,2.1
1970,5,8,23,30,5.0,27.1,102.83,0,ML,2.1
1970,5,26,16,17,44.0,27.08,103.53,0,ML,2.1
1970,6,3,17,38,6.0,26.97,103.07,0,ML,2.4
1970,6,10,10,58,48.0,27.05,103.22,0,ML,2.3
1970,6,11,14,2,35.0,27.03,102.78,0,ML,2.3
1970,6,19,15,26,12.0,26.93,103.18,0,ML,2.2
1970,6,20,19,33,14.0,27.08,103.08,0,ML,2.1
1970,6,22,2,36,13.0,27.28,103.23,0,ML,1.0
1970,6,22,22,50,42.0,27.3,102.9,0,ML,2.9
1970,6,23,4,43,41.0,26.6,102.6,0,ML,2.0
1970,6,23,19,38,12.0,26.6,102.63,0,ML,2.0
1970,6,29,3,29,26.0,27.03,103.03,0,ML,1.7
1970,7,3,1,19,38.0,27.17,103.12,0,ML,2.8
1970,7,7,2,31,5.0,27.05,102.7,0,ML,1.6
1970,7,30,4,25,0.0,27.02,102.83,0,ML,2.0
1970,8,8,3,40,29.0,26.9,102.88,0,ML,3.1
1970,8,9,12,39,11.5,26.95,102.68,0,ML,2.3
1970,8,14,1,52,26.0,26.9,102.7,0,ML,1.7
1970,10,5,7,41,8.0,26.9,103.3,0,ML,1.8
1970,10,21,14,58,36.0,26.7,102.5,0,ML,1.6
1970,10,28,13,5,6.0,27.18,102.97,0,ML,2.2
1970,11,13,6,24,11.0,27.1,102.88,0,ML,2.3
1970,11,25,1,25,38.0,26.6,103.1,0,ML,1.7
1970,12,7,21,12,57.0,26.75,102.95,0,ML,2.5
1970,12,16,23,56,7.0,26.73,102.82,0,ML,2.0
1970,12,17,23,56,10.0,26.6,102.9,0,ML,1.7
